filler,lga,Females
,Albury,28724
,Armidale_Regional,15104
,Ballina,23708
,Balranald,1111
,Bathurst_Regional,21495
,Bayside_(NSW),87754
,Bega_Valley,18030
,Bellingen,6740
,Berrigan,4320
,Blacktown,199263
,Bland,2734
,Blayney,3753
,Blue_Mountains,40227
,Bogan,1244
,Bourke,1216
,Brewarrina,710
,Broken_Hill,8954
,Burwood,20509
,Byron,18640
,Cabonne,6869
,Camden,60789
,Campbelltown_(NSW),90032
,Canada_Bay,46181
,Canterbury-Bankstown,184601
,Carrathool,1318
,Central_Coast_(NSW),178673
,Central_Darling,842
,Cessnock,31571
,Clarence_Valley,26810
,Cobar,2000
,Coffs_Harbour,40300
,Coolamon,2239
,Coonamble,1900
,Cootamundra-Gundagai_Regional,5679
,Cowra,6346
,Cumberland,113964
,Dubbo_Regional,27782
,Dungog,4720
,Edward_River,4218
,Eurobodalla,20431
,Fairfield,105357
,Federation,6388
,Forbes,4727
,Georges_River,77040
,Gilgandra,2168
,Glen_Innes_Severn,4466
,Goulburn_Mulwaree,15786
,Greater_Hume_Shire,5396
,Griffith,13373
,Gunnedah,6511
,Gwydir,2506
,Hawkesbury,33762
,Hay,1430
,Hilltops,9702
,Hornsby,77258
,Hunters_Hill,6930
,Inner_West,93676
,Inverell,8966
,Junee,2727
,Kempsey,15198
,Kiama,11686
,Ku-ring-gai,64216
,Kyogle,4728
,Lachlan,3057
,Lake_Macquarie,108443
,Lane_Cove,20045
,Leeton,5779
,Lismore,22345
,Lithgow,10244
,Liverpool,116997
,Liverpool_Plains,3747
,Lockhart,1641
,Maitland,46029
,Mid-Coast,48956
,Mid-Western_Regional,12624
,Moree_Plains,6420
,Mosman,15247
,Murray_River,6356
,Murrumbidgee,1725
,Muswellbrook,7919
,Nambucca_Valley,10365
,Narrabri,6255
,Narrandera,2877
,Narromine,3151
,Newcastle,85195
,North_Sydney,36564
,Northern_Beaches,134406
,Oberon,2632
,Orange,22210
,Parkes,7189
,Parramatta,127999
,Penrith,110267
,Port_Macquarie-Hastings,44638
,Port_Stephens,37897
,Queanbeyan-Palerang_Regional,31147
,Randwick,68952
,Richmond_Valley,11795
,Ryde,66014
,Shellharbour,38732
,Shoalhaven,54202
,Singleton,11806
,Snowy_Monaro_Regional,10392
,Snowy_Valleys,7360
,Strathfield,22232
,Sutherland_Shire,117371
,Sydney,101606
,Tamworth_Regional,32115
,Temora,3070
,Tenterfield,3444
,The_Hills_Shire,97120
,Tweed,49997
,Upper_Hunter_Shire,7067
,Upper_Lachlan_Shire,4131
,Uralla,3039
,Wagga_Wagga,34481
,Walcha,1511
,Walgett,2780
,Warren,1270
,Warrumbungle_Shire,4600
,Waverley,35462
,Weddin,1737
,Wentworth,3526
,Willoughby,39308
,Wingecarribee,27003
,Wollondilly,26913
,Wollongong,107910
,Woollahra,28577
,Yass_Valley,8625
,Unincorporated_NSW,525
,Alpine,6646
,Ararat,5551
,Ballarat,58617
,Banyule,65132
,Bass_Coast,20770
,Baw_Baw,29427
,Bayside_(Vic.),53285
,Benalla,7380
,Boroondara,88068
,Brimbank,97801
,Buloke,2954
,Campaspe,19461
,Cardinia,60367
,Casey,184554
,Central_Goldfields,6731
,Colac_Otway,11065
,Corangamite,7959
,Darebin,76917
,East_Gippsland,24557
,Frankston,71716
,Gannawarra,5315
,Glen_Eira,77261
,Glenelg,10031
,Golden_Plains,12080
,Greater_Bendigo,62175
,Greater_Dandenong,78470
,Greater_Geelong,138343
,Greater_Shepparton,34298
,Hepburn,8367
,Hindmarsh,2828
,Hobsons_Bay,46933
,Horsham,10319
,Hume,122861
,Indigo,8707
,Kingston_(Vic.),81855
,Knox,81568
,Latrobe_(Vic.),39200
,Loddon,3791
,Macedon_Ranges,26088
,Manningham,64688
,Mansfield,5120
,Maribyrnong,42893
,Maroondah,59628
,Melbourne,76815
,Melton,90429
,Mildura,28764
,Mitchell,24543
,Moira,15153
,Monash,96357
,Moonee_Valley,63000
,Moorabool,19007
,Moreland,88544
,Mornington_Peninsula,87646
,Mount_Alexander,10026
,Moyne,8716
,Murrindindi,7290
,Nillumbik,31994
,Northern_Grampians,5893
,Port_Phillip,52756
,Pyrenees,3618
,Queenscliffe,1705
,South_Gippsland,15283
,Southern_Grampians,8367
,Stonnington,55319
,Strathbogie,5697
,Surf_Coast,18979
,Swan_Hill,10616
,Towong,3019
,Wangaratta,15312
,Warrnambool,18302
,Wellington,22448
,West_Wimmera,1957
,Whitehorse,87965
,Whittlesea,116275
,Wodonga,22037
,Wyndham,146069
,Yarra,46599
,Yarra_Ranges,79176
,Yarriambiack,3193
,Unincorporated_Vic,396
,Aurukun,596
,Balonne,2177
,Banana,7085
,Barcaldine,1404
,Barcoo,145
,Blackall_Tambo,979
,Boulia,265
,Brisbane,637075
,Bulloo,163
,Bundaberg,50612
,Burdekin,8229
,Burke,169
,Cairns,85328
,Carpentaria,998
,Cassowary_Coast,14321
,Central_Highlands_(Qld),13432
,Charters_Towers,5951
,Cherbourg,665
,Cloncurry,1609
,Cook,2147
,Croydon,152
,Diamantina,118
,Doomadgee,720
,Douglas,6107
,Etheridge,313
,Flinders_(Qld),762
,Fraser_Coast,56941
,Gladstone,31520
,Gold_Coast,324350
,Goondiwindi,5176
,Gympie,27004
,Hinchinbrook,5351
,Hope_Vale,482
,Ipswich,117219
,Isaac,9764
,Kowanyama,541
,Livingstone,19283
,Lockhart_River,297
,Lockyer_Valley,20958
,Logan,176440
,Longreach,1847
,Mackay,60934
,McKinlay,385
,Mapoon,207
,Maranoa,6448
,Mareeba,10846
,Moreton_Bay,245862
,Mornington,555
,Mount_Isa,9259
,Murweh,2073
,Napranum,471
,Noosa,29181
,North_Burnett,4999
,Northern_Peninsula_Area,1476
,Palm_Island,1120
,Paroo,841
,Pormpuraaw,331
,Quilpie,342
,Redland,82201
,Richmond,373
,Rockhampton,41759
,Scenic_Rim,21886
,Somerset,12483
,South_Burnett,16559
,Southern_Downs,18525
,Sunshine_Coast,179056
,Tablelands,13373
,Toowoomba,89968
,Torres,1772
,Torres_Strait_Island,2149
,Townsville,97403
,Weipa,1975
,Western_Downs,16868
,Whitsunday,18178
,Winton,578
,Woorabinda,576
,Wujal_Wujal,147
,Yarrabah,1344
,Adelaide,12518
,Adelaide_Hills,20814
,Adelaide_Plains,4753
,Alexandrina,14723
,Anangu_Pitjantjatjara_Yunkunytjatjara,1361
,Barossa,12772
,Barunga_West,1303
,Berri_Barmera,5258
,Burnside,24338
,Campbelltown_(SA),28606
,Ceduna,1800
,Charles_Sturt,63224
,Clare_and_Gilbert_Valleys,4679
,Cleve,832
,Coober_Pedy,670
,Copper_Coast,7586
,Elliston,476
,Flinders_Ranges,808
,Franklin_Harbour,619
,Gawler,13069
,Goyder,1997
,Grant,3913
,Holdfast_Bay,19798
,Kangaroo_Island,2379
,Karoonda_East_Murray,498
,Kimba,536
,Kingston_(SA),1131
,Light,7925
,Lower_Eyre_Peninsula,2798
,Loxton_Waikerie,5818
,Maralinga_Tjarutja,43
,Marion,49701
,Mid_Murray,4292
,Mitcham,35156
,Mount_Barker,20409
,Mount_Gambier,14081
,Mount_Remarkable,1430
,Murray_Bridge,10942
,Naracoorte_Lucindale,4202
,Northern_Areas,2276
,Norwood_Payneham_and_St_Peters,19634
,Onkaparinga,90271
,Orroroo_Carrieton,411
,Peterborough,865
,Playford,50935
,Port_Adelaide_Enfield,67355
,Port_Augusta,6851
,Port_Lincoln,7455
,Port_Pirie,8844
,Prospect,11269
,Renmark_Paringa,4889
,Robe,803
,Roxby_Downs,1840
,Salisbury,73815
,Southern_Mallee,927
,Streaky_Bay,1090
,Tatiara,3334
,Tea_Tree_Gully,51927
,Coorong,2636
,Tumby_Bay,1426
,Unley,20656
,Victor_Harbor,8574
,Wakefield,3351
,Walkerville,4324
,Wattle_Range,5871
,West_Torrens,31773
,Whyalla,10737
,Wudinna,582
,Yankalilla,2936
,Yorke_Peninsula,5658
,Unincorporated_SA,1259
,Albany,20277
,Armadale,48998
,Ashburton,3245
,Augusta_Margaret_River,8610
,Bassendean,8354
,Bayswater,35850
,Belmont,21456
,Beverley,842
,Boddington,868
,Boyup_Brook,868
,Bridgetown-Greenbushes,2751
,Brookton,457
,Broome,9292
,Broomehill-Tambellup,515
,Bruce_Rock,490
,Bunbury,17236
,Busselton,21449
,Cambridge,15136
,Canning,49243
,Capel,9563
,Carnamah,271
,Carnarvon,2638
,Chapman_Valley,775
,Chittering,2992
,Christmas_Island,685
,Claremont,6107
,Cockburn,61595
,Cocos_Islands,291
,Collie,4469
,Coolgardie,1683
,Coorow,528
,Corrigin,518
,Cottesloe,4108
,Cranbrook,576
,Cuballing,471
,Cue,75
,Cunderdin,607
,Dalwallinu,661
,Dandaragan,1582
,Dardanup,7631
,Denmark,3300
,Derby-West_Kimberley,4159
,Donnybrook-Balingup,3176
,Dowerin,348
,Dumbleyung,324
,Dundas,286
,East_Fremantle,4211
,East_Pilbara,3691
,Esperance,7075
,Exmouth,1544
,Fremantle,16861
,Gingin,2755
,Gnowangerup,553
,Goomalling,490
,Gosnells,64928
,Greater_Geraldton,20741
,Halls_Creek,2025
,Harvey,14741
,Irwin,1883
,Jerramungup,557
,Joondalup,82731
,Kalamunda,30461
,Kalgoorlie-Boulder,14424
,Karratha,10667
,Katanning,2059
,Kellerberrin,568
,Kent,253
,Kojonup,944
,Kondinin,381
,Koorda,196
,Kulin,421
,Kwinana,23029
,Lake_Grace,583
,Laverton,439
,Leonora,657
,Mandurah,48246
,Manjimup,4634
,Meekatharra,494
,Melville,55203
,Menzies,134
,Merredin,1588
,Mingenew,192
,Moora,1192
,Morawa,322
,Mosman_Park,4908
,Mount_Magnet,318
,Mount_Marshall,229
,Mukinbudin,300
,Mundaring,19308
,Murchison,53
,Murray,9307
,Nannup,784
,Narembeen,360
,Narrogin,2509
,Nedlands,11547
,Ngaanyatjarraku,794
,Northam,5808
,Northampton,1573
,Nungarin,102
,Peppermint_Grove,968
,Perenjori,210
,Perth,13892
,Pingelly,490
,Plantagenet,2673
,Port_Hedland,7877
,Quairading,510
,Ravensthorpe,1033
,Rockingham,70614
,Sandstone,48
,Serpentine-Jarrahdale,16563
,Shark_Bay,526
,South_Perth,22769
,Stirling,119758
,Subiaco,9303
,Swan,79285
,Tammin,210
,Three_Springs,275
,Toodyay,2277
,Trayning,132
,Upper_Gascoyne,83
,Victoria_Park,18966
,Victoria_Plains,417
,Vincent,18786
,Wagin,899
,Wandering,280
,Wanneroo,109262
,Waroona,2182
,West_Arthur,343
,Westonia,131
,Wickepin,343
,Williams,498
,Wiluna,213
,Wongan-Ballidu,581
,Woodanilling,218
,Wyalkatchem,235
,Wyndham-East_Kimberley,4062
,Yalgoo,95
,Yilgarn,449
,York,1778
,Break_O`Day,3342
,Brighton,9892
,Burnie,10429
,Central_Coast_(Tas.),11848
,Central_Highlands_(Tas.),1165
,Circular_Head,4003
,Clarence,31903
,Derwent_Valley,5491
,Devonport,13760
,Dorset,3487
,Flinders_(Tas.),456
,George_Town,3530
,Glamorgan-Spring_Bay,2436
,Glenorchy,25877
,Hobart,28709
,Huon_Valley,9285
,Kentish,3222
,King_Island,771
,Kingborough,20983
,Latrobe_(Tas.),6384
,Launceston,36150
,Meander_Valley,10604
,Northern_Midlands,6975
,Sorell,8605
,Southern_Midlands,3245
,Tasman,1238
,Waratah-Wynyard,7377
,West_Coast,2071
,West_Tamar,12938
,Alice_Springs,14858
,Barkly,3637
,Belyuen,88
,Central_Desert,2063
,Coomalie,692
,Darwin,41897
,Darwin_Waterfront_Precinct,108
,East_Arnhem,5113
,Katherine,5234
,Litchfield,10160
,MacDonnell,3126
,Palmerston,19577
,Roper_Gulf,3718
,Tiwi_Islands,1413
,Victoria_Daly,1562
,Wagait,216
,West_Arnhem,3525
,West_Daly,1723
,Unincorporated_NT,3639
,Unincorporated_ACT,229691
,Unincorp._Other_Territories,1309
,,
,,12938497