filler,lga,Persons
,Albury,56036
,Armidale_Regional,29332
,Ballina,46172
,Balranald,2207
,Bathurst_Regional,43653
,Bayside_(NSW),176061
,Bega_Valley,35761
,Bellingen,13197
,Berrigan,8612
,Blacktown,399711
,Bland,5542
,Blayney,7508
,Blue_Mountains,78360
,Bogan,2481
,Bourke,2417
,Brewarrina,1488
,Broken_Hill,17661
,Burwood,40397
,Byron,36077
,Cabonne,13760
,Camden,119951
,Campbelltown_(NSW),177689
,Canada_Bay,89667
,Canterbury-Bankstown,372322
,Carrathool,2871
,Central_Coast_(NSW),348379
,Central_Darling,1760
,Cessnock,64082
,Clarence_Valley,54180
,Cobar,4098
,Coffs_Harbour,78738
,Coolamon,4401
,Coonamble,3834
,Cootamundra-Gundagai_Regional,11387
,Cowra,12753
,Cumberland,236996
,Dubbo_Regional,55518
,Dungog,9525
,Edward_River,8437
,Eurobodalla,40453
,Fairfield,209030
,Federation,12821
,Forbes,9383
,Georges_River,152703
,Gilgandra,4319
,Glen_Innes_Severn,8922
,Goulburn_Mulwaree,32138
,Greater_Hume_Shire,11105
,Griffith,27182
,Gunnedah,13085
,Gwydir,4911
,Hawkesbury,67581
,Hay,2883
,Hilltops,19216
,Hornsby,152225
,Hunters_Hill,13591
,Inner_West,183772
,Inverell,17919
,Junee,6450
,Kempsey,30816
,Kiama,22961
,Ku-ring-gai,124659
,Kyogle,9344
,Lachlan,6149
,Lake_Macquarie,213967
,Lane_Cove,39601
,Leeton,11481
,Lismore,44344
,Lithgow,20854
,Liverpool,234373
,Liverpool_Plains,7608
,Lockhart,3328
,Maitland,90553
,Mid-Coast,96425
,Mid-Western_Regional,25704
,Moree_Plains,12961
,Mosman,28461
,Murray_River,12780
,Murrumbidgee,3564
,Muswellbrook,16463
,Nambucca_Valley,20375
,Narrabri,12809
,Narrandera,5731
,Narromine,6448
,Newcastle,169317
,North_Sydney,69460
,Northern_Beaches,264481
,Oberon,5564
,Orange,43736
,Parkes,14453
,Parramatta,258315
,Penrith,219149
,Port_Macquarie-Hastings,86585
,Port_Stephens,75282
,Queanbeyan-Palerang_Regional,63364
,Randwick,135275
,Richmond_Valley,23589
,Ryde,129773
,Shellharbour,76443
,Shoalhaven,108497
,Singleton,24719
,Snowy_Monaro_Regional,21659
,Snowy_Valleys,14901
,Strathfield,45930
,Sutherland_Shire,230903
,Sydney,214851
,Tamworth_Regional,63652
,Temora,6012
,Tenterfield,6798
,The_Hills_Shire,192509
,Tweed,97151
,Upper_Hunter_Shire,14254
,Upper_Lachlan_Shire,8491
,Uralla,5993
,Wagga_Wagga,67860
,Walcha,3018
,Walgett,5590
,Warren,2586
,Warrumbungle_Shire,9254
,Waverley,69388
,Weddin,3589
,Wentworth,7487
,Willoughby,76034
,Wingecarribee,52456
,Wollondilly,54176
,Wollongong,214657
,Woollahra,53891
,Yass_Valley,17234
,Unincorporated_NSW,1020
,Alpine,13156
,Ararat,11821
,Ballarat,113482
,Banyule,127376
,Bass_Coast,40641
,Baw_Baw,57580
,Bayside_(Vic.),102337
,Benalla,14431
,Boroondara,169901
,Brimbank,196712
,Buloke,6130
,Campaspe,38545
,Cardinia,119521
,Casey,369453
,Central_Goldfields,13382
,Colac_Otway,22304
,Corangamite,16029
,Darebin,150335
,East_Gippsland,48453
,Frankston,140809
,Gannawarra,10612
,Glen_Eira,150685
,Glenelg,20056
,Golden_Plains,24879
,Greater_Bendigo,121221
,Greater_Dandenong,160171
,Greater_Geelong,270776
,Greater_Shepparton,68522
,Hepburn,16476
,Hindmarsh,5656
,Hobsons_Bay,92275
,Horsham,20369
,Hume,246850
,Indigo,17249
,Kingston_(Vic.),159567
,Knox,160484
,Latrobe_(Vic.),77086
,Loddon,7700
,Macedon_Ranges,51576
,Manningham,125827
,Mansfield,10112
,Maribyrnong,86398
,Maroondah,116080
,Melbourne,153674
,Melton,181223
,Mildura,56969
,Mitchell,49684
,Moira,30351
,Monash,193051
,Moonee_Valley,122965
,Moorabool,37895
,Moreland,173541
,Mornington_Peninsula,170390
,Mount_Alexander,20106
,Moyne,17291
,Murrindindi,15134
,Nillumbik,63454
,Northern_Grampians,11885
,Port_Phillip,103508
,Pyrenees,7613
,Queenscliffe,3235
,South_Gippsland,30378
,Southern_Grampians,16488
,Stonnington,106278
,Strathbogie,11364
,Surf_Coast,37623
,Swan_Hill,21383
,Towong,6183
,Wangaratta,29740
,Warrnambool,35419
,Wellington,45452
,West_Wimmera,3977
,Whitehorse,171167
,Whittlesea,231799
,Wodonga,43183
,Wyndham,296193
,Yarra,91543
,Yarra_Ranges,157419
,Yarriambiack,6511
,Unincorporated_Vic,946
,Aurukun,1131
,Balonne,4379
,Banana,14663
,Barcaldine,2863
,Barcoo,312
,Blackall_Tambo,1920
,Boulia,470
,Brisbane,1264024
,Bulloo,342
,Bundaberg,100118
,Burdekin,16842
,Burke,430
,Cairns,169312
,Carpentaria,2159
,Cassowary_Coast,29525
,Central_Highlands_(Qld),28311
,Charters_Towers,11923
,Cherbourg,1212
,Cloncurry,3705
,Cook,4631
,Croydon,269
,Diamantina,270
,Doomadgee,1435
,Douglas,12445
,Etheridge,724
,Flinders_(Qld),1521
,Fraser_Coast,112078
,Gladstone,64304
,Gold_Coast,633764
,Goondiwindi,10404
,Gympie,53851
,Hinchinbrook,10992
,Hope_Vale,999
,Ipswich,233302
,Isaac,22426
,Kowanyama,1108
,Livingstone,39881
,Lockhart_River,653
,Lockyer_Valley,41762
,Logan,350740
,Longreach,3693
,Mackay,123183
,McKinlay,838
,Mapoon,442
,Maranoa,12960
,Mareeba,23174
,Moreton_Bay,484428
,Mornington,1061
,Mount_Isa,19226
,Murweh,4010
,Napranum,907
,Noosa,56873
,North_Burnett,10144
,Northern_Peninsula_Area,2886
,Palm_Island,2180
,Paroo,1708
,Pormpuraaw,632
,Quilpie,702
,Redland,161730
,Richmond,769
,Rockhampton,82904
,Scenic_Rim,43595
,Somerset,25391
,South_Burnett,33325
,Southern_Downs,36641
,Sunshine_Coast,346648
,Tablelands,26488
,Toowoomba,175316
,Torres,3533
,Torres_Strait_Island,4300
,Townsville,195515
,Weipa,4176
,Western_Downs,34360
,Whitsunday,37660
,Winton,1132
,Woorabinda,1041
,Wujal_Wujal,284
,Yarrabah,2598
,Adelaide,25551
,Adelaide_Hills,41250
,Adelaide_Plains,9977
,Alexandrina,29257
,Anangu_Pitjantjatjara_Yunkunytjatjara,2554
,Barossa,25569
,Barunga_West,2676
,Berri_Barmera,10747
,Burnside,46444
,Campbelltown_(SA),55475
,Ceduna,3651
,Charles_Sturt,123146
,Clare_and_Gilbert_Valleys,9366
,Cleve,1776
,Coober_Pedy,1624
,Copper_Coast,15336
,Elliston,1038
,Flinders_Ranges,1686
,Franklin_Harbour,1323
,Gawler,25304
,Goyder,4138
,Grant,8862
,Holdfast_Bay,37868
,Kangaroo_Island,4999
,Karoonda_East_Murray,1025
,Kimba,1053
,Kingston_(SA),2375
,Light,16083
,Lower_Eyre_Peninsula,6060
,Loxton_Waikerie,11922
,Maralinga_Tjarutja,102
,Marion,95650
,Mid_Murray,9355
,Mitcham,68180
,Mount_Barker,39627
,Mount_Gambier,27642
,Mount_Remarkable,2921
,Murray_Bridge,22348
,Naracoorte_Lucindale,8896
,Northern_Areas,4659
,Norwood_Payneham_and_St_Peters,37850
,Onkaparinga,176628
,Orroroo_Carrieton,891
,Peterborough,1669
,Playford,100573
,Port_Adelaide_Enfield,134202
,Port_Augusta,14453
,Port_Lincoln,14880
,Port_Pirie,17754
,Prospect,22497
,Renmark_Paringa,10009
,Robe,1568
,Roxby_Downs,4115
,Salisbury,147602
,Southern_Mallee,2029
,Streaky_Bay,2241
,Tatiara,7072
,Tea_Tree_Gully,102067
,Coorong,5599
,Tumby_Bay,2875
,Unley,39082
,Victor_Harbor,16427
,Wakefield,6926
,Walkerville,8091
,Wattle_Range,12127
,West_Torrens,62469
,Whyalla,21960
,Wudinna,1163
,Yankalilla,5928
,Yorke_Peninsula,11828
,Unincorporated_SA,3102
,Albany,40115
,Armadale,97650
,Ashburton,7785
,Augusta_Margaret_River,17298
,Bassendean,16505
,Bayswater,71796
,Belmont,43873
,Beverley,1735
,Boddington,1759
,Boyup_Brook,1874
,Bridgetown-Greenbushes,5376
,Brookton,961
,Broome,18209
,Broomehill-Tambellup,1089
,Bruce_Rock,1016
,Bunbury,34148
,Busselton,42006
,Cambridge,29836
,Canning,99351
,Capel,18780
,Carnamah,573
,Carnarvon,5526
,Chapman_Valley,1613
,Chittering,6100
,Christmas_Island,1716
,Claremont,11645
,Cockburn,122211
,Cocos_Islands,602
,Collie,9088
,Coolgardie,3638
,Coorow,1091
,Corrigin,1028
,Cottesloe,8246
,Cranbrook,1137
,Cuballing,927
,Cue,228
,Cunderdin,1342
,Dalwallinu,1436
,Dandaragan,3473
,Dardanup,15199
,Denmark,6467
,Derby-West_Kimberley,8414
,Donnybrook-Balingup,6312
,Dowerin,733
,Dumbleyung,699
,Dundas,699
,East_Fremantle,8065
,East_Pilbara,10377
,Esperance,14398
,Exmouth,3205
,Fremantle,33109
,Gingin,5751
,Gnowangerup,1260
,Goomalling,985
,Gosnells,131381
,Greater_Geraldton,41198
,Halls_Creek,4041
,Harvey,29631
,Irwin,3771
,Jerramungup,1196
,Joondalup,165075
,Kalamunda,60803
,Kalgoorlie-Boulder,30674
,Karratha,23421
,Katanning,4226
,Kellerberrin,1178
,Kent,506
,Kojonup,1965
,Kondinin,872
,Koorda,373
,Kulin,791
,Kwinana,47658
,Lake_Grace,1300
,Laverton,1432
,Leonora,1717
,Mandurah,93414
,Manjimup,9351
,Meekatharra,1287
,Melville,106845
,Menzies,569
,Merredin,3221
,Mingenew,423
,Moora,2384
,Morawa,669
,Mosman_Park,9482
,Mount_Magnet,698
,Mount_Marshall,467
,Mukinbudin,593
,Mundaring,40541
,Murchison,108
,Murray,18641
,Nannup,1574
,Narembeen,820
,Narrogin,4937
,Nedlands,22948
,Ngaanyatjarraku,1476
,Northam,11810
,Northampton,3335
,Nungarin,263
,Peppermint_Grove,1639
,Perenjori,652
,Perth,29667
,Pingelly,1072
,Plantagenet,5534
,Port_Hedland,16660
,Quairading,982
,Ravensthorpe,2157
,Rockingham,140595
,Sandstone,117
,Serpentine-Jarrahdale,33346
,Shark_Bay,1069
,South_Perth,44982
,Stirling,234380
,Subiaco,17914
,Swan,158691
,Tammin,401
,Three_Springs,587
,Toodyay,4713
,Trayning,307
,Upper_Gascoyne,180
,Victoria_Park,38312
,Victoria_Plains,832
,Vincent,37865
,Wagin,1802
,Wandering,551
,Wanneroo,216450
,Waroona,4357
,West_Arthur,795
,Westonia,255
,Wickepin,712
,Williams,1050
,Wiluna,570
,Wongan-Ballidu,1338
,Woodanilling,468
,Wyalkatchem,484
,Wyndham-East_Kimberley,8053
,Yalgoo,364
,Yilgarn,1206
,York,3553
,Break_O`Day,6936
,Brighton,19263
,Burnie,20441
,Central_Coast_(Tas.),23278
,Central_Highlands_(Tas.),2580
,Circular_Head,8335
,Clarence,62396
,Derwent_Valley,11114
,Devonport,26922
,Dorset,6991
,Flinders_(Tas.),938
,George_Town,7213
,Glamorgan-Spring_Bay,5118
,Glenorchy,51233
,Hobart,56084
,Huon_Valley,18809
,Kentish,6778
,King_Island,1654
,Kingborough,40815
,Latrobe_(Tas.),12705
,Launceston,71906
,Meander_Valley,21153
,Northern_Midlands,14030
,Sorell,16975
,Southern_Midlands,6838
,Tasman,2643
,Waratah-Wynyard,14641
,West_Coast,4373
,West_Tamar,25747
,Alice_Springs,28601
,Barkly,7203
,Belyuen,165
,Central_Desert,4124
,Coomalie,1403
,Darwin,85397
,Darwin_Waterfront_Precinct,316
,East_Arnhem,10097
,Katherine,10706
,Litchfield,23048
,MacDonnell,6583
,Palmerston,39587
,Roper_Gulf,7442
,Tiwi_Islands,2738
,Victoria_Daly,3224
,Wagait,465
,West_Arnhem,7186
,West_Daly,3426
,Unincorporated_NT,7489
,Unincorporated_ACT,453558
,Unincorp._Other_Territories,2530
,,
,,25688079